Date,Time,Latitude,Longitude,Altitude,Speed,Course,Type,Distance,Essential
8/15/2013,23:38:31,21.573498,-158.276459,-104.8,1224,163,0,24.18,1
8/15/2013,23:41:39,21.573717,-158.276459,-19.96,0,130,0,24.35,1
8/15/2013,23:44:46,21.574013,-158.276413,28.6,1836,132,0,33.26,1
8/15/2013,23:47:54,21.57403,-158.276382,105.9,2232,231,0,3.72,1
8/15/2013,23:51:03,21.573776,-158.276367,-1.18,0,111,0,28.29,1
8/15/2013,23:54:13,21.57387,-158.276413,44.12,1008,337,0,11.48,1
8/15/2013,23:57:22,21.573698,-158.276505,-14.9,3312,192,-4,21.36,1
8/16/2013,0:00:33,21.573814,-158.276276,63.66,2880,239,-2,0,1
8/16/2013,0:03:42,21.57394,-158.276505,22.76,648,341,0,27.51,1
8/16/2013,0:06:51,21.574179,-158.276291,144.81,0,192,0,34.58,
8/16/2013,0:10:04,21.573805,-158.276428,19.64,576,261,0,43.93,
8/16/2013,0:13:17,21.573833,-158.276474,19.33,756,99,0,5.68,1
8/16/2013,0:16:26,21.574295,-158.276093,238.77,0,112,0,64.74,1
8/16/2013,0:19:36,21.573956,-158.276337,92.67,0,89,0,45.36,
8/16/2013,0:22:44,21.573606,-158.276627,-107.31,0,299,0,49.13,
8/16/2013,0:25:54,21.573687,-158.276764,-78.95,0,78,0,16.79,
8/16/2013,0:29:04,21.573771,-158.276581,-14.01,0,84,0,21.1,
8/16/2013,0:32:12,21.573921,-158.276367,59.08,0,155,0,27.71,
8/16/2013,0:35:24,21.573841,-158.276489,15.76,0,256,0,15.44,
8/16/2013,0:38:33,21.573858,-158.276276,79.05,0,70,0,22.11,
8/16/2013,0:41:46,21.573854,-158.276459,24.64,2448,281,0,18.93,1
8/16/2013,0:44:57,21.573837,-158.276505,19.07,0,202,0,5.12,1
8/16/2013,0:48:11,21.573833,-158.276443,34.41,828,252,0,6.43,
8/16/2013,0:51:25,21.573833,-158.276474,22.68,0,190,0,3.21,
8/16/2013,0:54:37,21.573847,-158.276535,17.71,1620,176,0,6.5,
8/16/2013,0:57:50,21.573822,-158.276489,36.79,1152,92,0,5.51,
8/16/2013,1:01:01,21.573864,-158.27655,1.77,1512,92,0,7.85,
8/16/2013,1:03:59,21.573919,-158.276566,-9.46,1080,141,0,6.34,
8/16/2013,1:06:59,21.57383,-158.27655,20.76,540,225,0,10.03,
8/16/2013,1:09:57,21.573866,-158.27652,9.85,1692,327,0,5.06,
8/16/2013,1:12:55,21.573883,-158.276611,1.4,1620,319,0,9.6,
8/16/2013,1:15:54,21.573822,-158.276474,51.64,612,5,0,15.71,
8/16/2013,1:18:51,21.573889,-158.276566,-6.11,1044,109,0,12.08,
8/16/2013,1:21:45,21.57382,-158.276535,38.85,432,272,0,8.32,
8/16/2013,1:24:39,21.57386,-158.276505,13.45,684,144,0,5.42,
8/16/2013,1:27:32,21.573824,-158.276459,40.59,360,182,0,6.22,
8/16/2013,1:30:24,21.573818,-158.27652,34.43,144,302,0,6.34,
8/16/2013,1:33:16,21.57387,-158.276581,-14.59,72,175,0,8.56,
8/16/2013,1:36:08,21.573847,-158.276428,33.04,108,31,0,16.03,
8/16/2013,1:39:00,21.573849,-158.276459,24.61,72,162,0,3.21,
8/16/2013,1:41:52,21.573866,-158.276459,19.36,108,38,0,1.89,
8/16/2013,1:44:45,21.573858,-158.276443,20.36,0,172,0,1.88,
8/16/2013,1:47:38,21.573862,-158.276459,23.76,0,314,0,1.71,
8/16/2013,1:50:31,21.573837,-158.276428,33.56,0,172,0,4.24,
8/16/2013,1:53:24,21.573843,-158.276443,27.43,0,190,0,1.69,
8/16/2013,1:56:16,21.573898,-158.276245,-7.93,0,190,0,21.37,
8/16/2013,1:59:08,21.573851,-158.276459,28.17,0,133,0,22.74,
8/16/2013,2:02:35,21.573856,-158.276474,26.71,36,204,0,1.65,
8/16/2013,2:05:34,21.573854,-158.276428,28.89,72,50,0,4.76,
8/16/2013,2:08:33,21.573902,-158.276443,23.68,576,15,0,5.56,
8/16/2013,2:11:32,21.57387,-158.276413,22.64,252,72,0,4.72,
8/16/2013,2:14:31,21.573858,-158.276459,17.14,396,39,0,4.94,
8/16/2013,2:17:30,21.573864,-158.276382,60.02,396,27,0,7.99,
8/16/2013,2:20:29,21.573914,-158.276443,42.43,324,80,0,8.41,
8/16/2013,2:23:27,21.573811,-158.276413,38.87,36,159,0,11.87,
8/16/2013,2:26:27,21.573864,-158.276489,25.56,144,157,0,9.82,
8/16/2013,2:29:25,21.573833,-158.276352,36.17,1332,293,0,14.58,
8/16/2013,2:32:23,21.573797,-158.276367,30.96,540,333,0,4.29,
8/16/2013,2:35:22,21.573805,-158.276489,21.67,756,100,0,12.65,
8/16/2013,2:38:22,21.573864,-158.276489,19.98,144,321,0,6.56,
8/16/2013,2:41:22,21.573864,-158.276459,15.18,216,196,0,3.1,
8/16/2013,2:44:23,21.573833,-158.276459,20.55,0,187,0,3.45,
8/16/2013,2:47:22,21.573851,-158.276443,30.48,144,45,0,2.6,
8/16/2013,2:50:20,21.573851,-158.276505,-8.22,360,137,0,6.41,
8/16/2013,2:53:19,21.573835,-158.276413,27.76,360,289,0,9.68,
8/16/2013,2:56:19,21.573875,-158.276474,15.22,216,178,0,7.72,
8/16/2013,2:59:18,21.573853,-158.276413,31.29,720,328,0,6.77,
8/16/2013,3:02:21,21.573807,-158.276443,29.91,216,170,0,5.98,
8/16/2013,3:05:25,21.573833,-158.276489,19.3,288,23,0,5.57,
8/16/2013,3:08:29,21.573812,-158.276505,34.54,324,52,0,2.86,
8/16/2013,3:11:33,21.573847,-158.276459,33.45,396,206,0,6.15,
8/16/2013,3:14:38,21.573856,-158.276459,26.6,288,150,0,1,
8/16/2013,3:17:44,21.57387,-158.276474,36.69,2412,112,0,2.2,
8/16/2013,3:20:53,21.573847,-158.276367,48.89,180,50,0,11.36,
8/16/2013,3:23:58,21.573826,-158.276367,36.64,0,37,0,2.34,
8/16/2013,3:27:08,21.57387,-158.276474,23.5,792,101,0,12.1,
8/16/2013,3:30:14,21.573727,-158.276413,12.69,0,196,0,17.11,
8/16/2013,3:33:25,21.573853,-158.276428,26.95,756,108,0,14.1,
8/16/2013,3:36:32,21.573767,-158.276291,-9.04,0,316,0,17.09,
8/16/2013,3:39:40,21.573837,-158.276443,26.32,0,152,0,17.54,
8/16/2013,3:42:51,21.573807,-158.276352,47.53,252,202,0,9.98,
8/16/2013,3:46:02,21.573858,-158.276474,21.43,0,267,0,13.83,
8/16/2013,3:49:14,21.573807,-158.276398,37.28,0,145,0,9.69,
8/16/2013,3:52:21,21.573971,-158.276596,-2.57,0,328,0,27.42,
8/16/2013,3:55:33,21.573879,-158.276413,30.41,1296,298,0,21.51,
8/16/2013,3:58:45,21.573977,-158.276566,8.93,972,301,0,19.21,
8/16/2013,4:01:51,21.573862,-158.276413,22.62,2340,150,0,20.34,
8/16/2013,4:04:48,21.573763,-158.276337,47.12,2484,113,0,13.53,
8/16/2013,4:07:46,21.573853,-158.276413,33.13,972,335,0,12.72,
8/16/2013,4:10:44,21.573929,-158.27655,12.61,1440,109,0,16.5,
8/16/2013,4:13:41,21.573759,-158.276321,42.42,720,113,0,30.3,
8/16/2013,4:16:40,21.573833,-158.276413,30.57,360,174,0,12.58,
8/16/2013,4:19:39,21.573839,-158.276443,23.01,936,175,0,3.17,
8/16/2013,4:22:34,21.573973,-158.276291,81.91,684,52,0,21.66,
8/16/2013,4:25:28,21.573854,-158.276474,20.35,540,324,0,23.09,
8/16/2013,4:28:21,21.573891,-158.27652,12.85,1692,143,0,6.29,
8/16/2013,4:31:14,21.573845,-158.276474,23.85,72,258,0,6.98,
8/16/2013,4:34:07,21.573856,-158.276474,16.82,36,308,0,1.22,
8/16/2013,4:36:59,21.573868,-158.276474,15.89,4644,213,0,1.33,
8/16/2013,4:39:51,21.573904,-158.27652,11.43,1188,155,0,6.22,
8/16/2013,4:42:43,21.573872,-158.276382,50.95,360,285,0,14.71,
8/16/2013,4:45:35,21.573843,-158.276474,21.83,504,290,0,10.04,
8/16/2013,4:48:27,21.573839,-158.276474,23.52,432,309,0,0.44,
8/16/2013,4:51:18,21.573854,-158.276489,21.73,36,161,0,2.28,
8/16/2013,4:54:10,21.57383,-158.276505,25.24,0,131,0,3.14,
8/16/2013,4:57:01,21.573818,-158.276443,23.97,0,218,0,6.55,
8/16/2013,4:59:59,21.57382,-158.276459,25.72,144,130,0,1.67,
8/16/2013,5:03:07,21.573818,-158.276489,14.57,0,292,0,3.11,
8/16/2013,5:06:13,21.57383,-158.276459,21.16,0,259,0,3.38,
8/16/2013,5:09:17,21.573816,-158.276443,25.55,612,135,0,2.27,
8/16/2013,5:12:21,21.573856,-158.276398,47.42,720,216,0,6.44,
8/16/2013,5:15:26,21.573809,-158.276443,25.72,36,301,0,7,
8/16/2013,5:18:31,21.573851,-158.276474,20.48,396,325,0,5.66,
8/16/2013,5:21:39,21.573853,-158.276505,26.29,0,51,0,3.21,
8/16/2013,5:24:49,21.573841,-158.276489,20.56,540,150,0,2.13,
8/16/2013,5:28:02,21.573835,-158.276459,17.91,0,256,0,3.17,
8/16/2013,5:31:13,21.573872,-158.276596,20.53,1872,125,0,14.75,
8/16/2013,5:34:27,21.573801,-158.276535,-14.97,0,102,0,10.11,
8/16/2013,5:37:39,21.573856,-158.276627,3.09,0,123,0,11.31,
8/16/2013,5:40:50,21.573845,-158.276398,25.87,2484,270,0,23.71,
8/16/2013,5:44:01,21.573841,-158.276642,-9.19,468,93,0,25.23,
8/16/2013,5:47:14,21.573856,-158.276581,11.19,0,319,0,6.52,
8/16/2013,5:50:29,21.573824,-158.276154,51.87,0,107,0,44.3,
8/16/2013,5:53:42,21.573822,-158.276321,36.3,2736,96,0,17.27,
8/16/2013,5:56:56,21.573864,-158.27652,15.33,0,100,0,21.1,
8/16/2013,6:04:16,21.573864,-158.27652,15.33,0,100,0,0,
8/16/2013,6:18:34,21.573835,-158.276459,16.66,180,265,0,7.08,
8/16/2013,6:33:40,21.573843,-158.27652,3.48,216,275,0,6.37,
8/16/2013,6:36:53,21.57386,-158.27652,12.21,144,284,0,1.89,
8/16/2013,6:40:05,21.573839,-158.276474,5.81,2376,119,0,5.3,
8/16/2013,6:43:18,21.573845,-158.27652,-2.43,72,295,0,4.8,
8/16/2013,6:46:26,21.573706,-158.276428,26.59,1728,89,0,18.15,
8/16/2013,6:49:39,21.573828,-158.276413,11.33,144,291,0,13.65,
8/16/2013,6:52:50,21.573845,-158.276535,-2.66,900,326,0,12.76,
